id;area;region;state;activity;date;day;on_duty_id
1;secured intranet;Re-engineered;Perlis;Collector;2023-02-28;Teusday;1
2;invoice;bluetooth;Perlis;Cleaning;2023-02-28;Sunday;2
3;bluetooth;Outdoors Cambodia;Johor;Collector;2023-02-28;Thusday;3
4;of Neck;Account;Kedah;Cleaning;2023-02-28;Monday;4
5;Licensed;infrastructures Licensed Pound;Johor;Collector;2023-02-28;Wednesday;5
6;backing Zimbabwe;Internal;Kedah;Cleaning;2023-03-01;Teusday;6
7;face Metal;hybrid connect Chair;Kedah;Cleaning;2023-02-28;Thusday;7
8;Berkshire Sharable;Investment Seychelles Clothing;Johor;Cleaning;2023-02-28;Saturday;8
9;Jewelery back;navigating reboot Hills;Kedah;Collector;2023-02-28;Monday;9
10;Senior deposit;Avon;Perlis;Collector;2023-03-01;Monday;10
